變數說明,圖序,鄉鎮市名稱,土 地 面 積,人 口 密 度,年底人口數
1000101,38,新北市板橋區,23.1373,24093,557440
1000102,24,新北市三重區,16.317,23907,390090
1000103,46,新北市中和區,20.144,20676,416499
1000104,42,新北市永和區,5.7138,40388,230768
1000105,30,新北市新莊區,19.7383,20620,407012
1000106,48,新北市新店區,120.2255,2476,297637
1000107,43,新北市樹林區,33.1288,5494,182012
1000108,52,新北市鶯歌區,21.1248,4182,88336
1000109,55,新北市三峽區,191.4508,563,107794
1000110,346,新北市淡水區,70.6565,2133,150687
1000111,12,新北市汐止區,71.2354,2705,192676
1000112,13,新北市瑞芳區,70.7336,588,41617
1000113,47,新北市土城區,29.5578,8110,239717
1000114,22,新北市蘆洲區,7.4351,26831,199490
1000115,16,新北市五股區,34.8632,2330,81225
1000116,29,新北市泰山區,19.1603,4051,77617
1000117,14,新北市林口區,54.1519,1660,89886
1000118,41,新北市深坑區,20.5787,1145,23569
1000119,37,新北市石碇區,144.3498,55,7895
1000120,51,新北市坪林區,170.835,38,6483
1000121,2,新北市三芝區,65.9909,356,23460
1000122,1,新北市石門區,51.2645,250,12798
1000123,7,新北市八里區,39.4933,904,35721
1000124,27,新北市平溪區,71.3382,72,5109
1000125,23,新北市雙溪區,146.2484,65,9465
1000126,17,新北市貢寮區,99.9734,134,13412
1000127,3,新北市金山區,49.2132,457,22486
1000128,342,新北市萬里區,63.3766,354,22429
1000129,59,新北市烏來區,321.1306,19,5975
1000201,72,宜蘭縣宜蘭市,95.6224,162,15510
1000202,83,宜蘭縣羅東鎮,194,9,1839
1000203,89,宜蘭縣蘇澳鎮,928.98,5,4559
1000204,49,宜蘭縣頭城鎮,252.9895,13,3170
1000205,62,宜蘭縣礁溪鄉,29.408,3265,96016
1000206,69,宜蘭縣壯圍鄉,11.3448,6388,72468
1000207,71,宜蘭縣員山鄉,89.0196,470,41855
1000208,84,宜蘭縣冬山鄉,100.893,300,30304
1000209,79,宜蘭縣五結鄉,101.4278,355,36010
1000210,81,宜蘭縣三星鄉,38.4769,638,24551
1000211,78,宜蘭縣大同鄉,111.9106,287,32106
1000212,91,宜蘭縣南澳鄉,79.8573,668,53363
1000301,39,桃園縣桃園市,38.8671,1003,38999
1000302,40,桃園縣中壢市,144.2238,146,21122
1000303,58,桃園縣大溪鎮,76.52,4917,376217
1000304,54,桃園縣楊梅鎮,34.8046,11880,413488
1000305,19,桃園縣蘆竹鄉,47.7532,4388,209552
1000306,18,桃園縣大園鄉,33.7111,5307,178889
1000307,31,桃園縣龜山鄉,89.1229,1732,154324
1000308,50,桃園縣八德市,740.652,8,5886
1000309,60,桃園縣龍潭鄉,105.1206,874,91891
1000310,53,桃園縣平鎮市,657.5442,9,5915
1000311,44,桃園縣新屋鄉,75.5025,1944,146779
1000312,347,桃園縣觀音鄉,87.3925,947,82756
1000313,64,桃園縣復興鄉,72.0177,1938,139605
1000401,61,新竹縣竹北市,75.2341,1531,115146
1000402,70,新竹縣竹東鎮,87.9807,712,62612
1000403,357,新竹縣新埔鎮,85.0166,568,48276
1000404,65,新竹縣關西鎮,,,
1000405,57,新竹縣湖口鄉,350.7775,30,10626
1000406,56,新竹縣新豐鄉,125.5193,249,31239
1000407,68,新竹縣芎林鄉,72.1911,484,34960
1000408,75,新竹縣橫山鄉,46.8341,3259,152617
1000409,77,新竹縣北埔鄉,58.4303,1309,76501
1000410,73,新竹縣寶山鄉,53.5133,1805,96594
1000411,80,新竹縣峨眉鄉,66.3502,211,14013
1000412,74,新竹縣尖石鄉,46.3496,1174,54427
1000413,86,新竹縣五峰鄉,40.7858,499,20354
1000501,94,苗栗縣苗栗市,64.7871,217,14085
1000502,99,苗栗縣苑裡鎮,50.6676,195,9883
1000503,348,苗栗縣通霄鎮,46.801,125,5831
1000504,76,苗栗縣竹南鎮,527.5795,17,8964
1000505,82,苗栗縣頭份鎮,227.728,20,4525
1000506,87,苗栗縣後龍鎮,37.8878,2402,91007
1000507,105,苗栗縣卓蘭鎮,68.2473,710,48452
1000508,100,苗栗縣大湖鄉,107.8486,347,37449
1000509,96,苗栗縣公館鄉,37.5592,2153,80864
1000510,97,苗栗縣銅鑼鄉,53.3205,1875,99993
1000511,90,苗栗縣南庄鄉,75.8079,512,38777
1000512,92,苗栗縣頭屋鄉,76.3153,242,18480
1000513,103,苗栗縣三義鄉,90.8396,174,15798
1000514,95,苗栗縣西湖鄉,71.4523,489,34932
1000515,88,苗栗縣造橋鄉,78.3805,245,19178
1000516,85,苗栗縣三灣鄉,165.4938,66,10863
1000517,93,苗栗縣獅潭鄉,52.5046,218,11454
1000518,98,苗栗縣泰安鄉,69.3424,252,17495
1000601,113,台中市豐原區,62.7034,4030,252668
1000602,109,台中市東勢區,41.1845,4033,166085
1000603,102,台中市大甲區,117.4065,446,52403
1000604,108,台中市清水區,58.5192,1333,77986
1000605,116,台中市沙鹿區,64.1709,1336,85734
1000606,114,台中市梧棲區,40.4604,2096,84797
1000607,107,台中市后里區,16.6049,3364,55857
1000608,110,台中市神岡區,58.9439,918,54089
1000609,119,台中市潭子區,35.0445,1841,64534
1000610,117,台中市大雅區,25.8497,4005,103516
1000611,115,台中市新社區,32.4109,2819,91367
1000612,112,台中市石岡區,68.8874,368,25378
1000613,106,台中市外埔區,18.2105,866,15763
1000614,349,台中市大安區,42.4099,750,31797
1000615,132,台中市烏日區,27.4045,727,19910
1000616,122,台中市大肚區,43.4032,1614,70068
1000617,111,台中市龍井區,37.0024,1510,55863
1000618,138,台中市霧峰區,38.0377,1975,75138
1000619,125,台中市太平區,98.0779,654,64183
1000620,136,台中市大里區,120.7473,1463,176594
1000621,101,台中市和平區,28.8758,7038,203239
1000701,137,彰化縣彰化市,41.0758,189,7748
1000702,135,彰化縣鹿港鎮,47.9978,284,13626
1000703,127,彰化縣和美鎮,52.2964,138,7191
1000704,128,彰化縣線西鄉,19.2547,1728,33280
