鄉鎮市名稱,藍營得票率,扶養比
新北市板橋區,0.53522632,0.303780965
新北市三重區,0.485326793,0.291612903
新北市中和區,0.636821811,0.30078125
新北市永和區,0.685103469,0.298701299
新北市新莊區,0.511922823,0.287001287
新北市新店區,0.690248828,0.3
新北市樹林區,0.529392834,0.275862069
新北市鶯歌區,0.525509685,0.296632124
新北市三峽區,0.555389301,0.294954722
新北市淡水區,0.591592884,0.298701299
新北市汐止區,0.603243272,0.281690141
新北市瑞芳區,0.585803842,0.353179973
新北市土城區,0.550901177,0.270992366
新北市蘆洲區,0.480003212,0.295336788
新北市五股區,0.512198321,0.302477184
新北市泰山區,0.538015799,0.305483029
新北市林口區,0.585538812,0.35501355
新北市深坑區,0.588022165,0.277493606
新北市石碇區,0.433283992,0.420454545
新北市坪林區,0.400149963,0.447178003
新北市三芝區,0.59215956,0.342281879
新北市石門區,0.578887304,0.371742112
新北市八里區,0.54260426,0.293661061
新北市平溪區,0.477238468,0.503759398
新北市雙溪區,0.530013879,0.46627566
新北市貢寮區,0.395243488,0.410437236
新北市金山區,0.523186589,0.35
新北市萬里區,0.554063549,0.369863014
新北市烏來區,0.653858169,0.340482574
宜蘭縣宜蘭市,0.533797671,0.385575589
宜蘭縣羅東鎮,0.483901251,0.421875
宜蘭縣蘇澳鎮,0.46085312,0.381742739
宜蘭縣頭城鎮,0.585224211,0.388888889
宜蘭縣礁溪鄉,0.461964638,0.371742112
宜蘭縣壯圍鄉,0.42384987,0.356852103
宜蘭縣員山鄉,0.410051182,0.360544218
宜蘭縣冬山鄉,0.394678275,0.357336957
宜蘭縣五結鄉,0.402053678,0.334666667
宜蘭縣三星鄉,0.390188249,0.394700139
宜蘭縣大同鄉,0.833441348,0.398601399
宜蘭縣南澳鄉,0.905248327,0.426533524
桃園縣桃園市,0.593080395,0.342281879
桃園縣中壢市,0.648627659,0.342281879
桃園縣大溪鎮,0.540003893,0.371742112
桃園縣楊梅鎮,0.636491075,0.353179973
桃園縣蘆竹鄉,0.543857135,0.36425648
桃園縣大園鄉,0.511245482,0.35501355
桃園縣龜山鄉,0.58216254,0.319261214
桃園縣八德市,0.625136569,0.314473684
桃園縣龍潭鄉,0.655073733,0.336898396
桃園縣平鎮市,0.630078172,0.328021248
桃園縣新屋鄉,0.494253689,0.412429379
桃園縣觀音鄉,0.457731836,0.379834254
桃園縣復興鄉,0.76812159,0.373626374
新竹縣竹北市,0.658931181,0.428571429
新竹縣竹東鎮,0.750574262,0.411016949
新竹縣新埔鎮,0.630503731,0.396648045
新竹縣關西鎮,0.655888524,0.479289941
新竹縣湖口鄉,0.709697807,0.379834254
新竹縣新豐鄉,0.670667307,0.377931034
新竹縣芎林鄉,0.702420768,0.39275766
新竹縣橫山鄉,0.737373737,0.46627566
新竹縣北埔鄉,0.695717131,0.474926254
新竹縣寶山鄉,0.675850701,0.361904762
新竹縣峨眉鄉,0.601335113,0.506024096
新竹縣尖石鄉,0.828285296,0.415014164
新竹縣五峰鄉,0.823976361,0.335113485
苗栗縣苗栗市,0.744641175,0.385041551
苗栗縣苑裡鎮,0.478715569,0.400560224
苗栗縣通霄鎮,0.536819736,0.416430595
苗栗縣竹南鎮,0.624233365,0.377931034
苗栗縣頭份鎮,0.743567246,0.377410468
苗栗縣後龍鎮,0.591328671,0.430615165
